"logFC" "t" "P.Value" "adj.P.Val" "B"
"Wnt9a" -1.4435212537175 -8.57458200077759 2.10311243089542e-11 1.55484270411894e-09 15.8373766804854
"Sorcs3" 0.712542155057319 8.64336384729575 1.65074003928066e-11 1.26733979265735e-09 15.8151612060849
"Txnip" 1.25370332519999 8.63703005812616 1.68793966615399e-11 1.28562324562832e-09 15.8134107873552
"Prodh" 0.823182990889799 8.60592778288315 1.8832360481483e-11 1.41296807274564e-09 15.7891305338599
"Slc35f1" -0.660580278544503 -8.60571235147445 1.88466528583394e-11 1.41296807274564e-09 15.6718736974659
"Zhx3" 0.375781278163124 8.59907257729697 1.92925539171265e-11 1.43963922197474e-09 15.6494741045827
"Trpc6" 0.802991573360398 8.54966731129412 2.29618876659529e-11 1.68201093641102e-09 15.6398110956941
"Clec1a" -1.46979814611897 -8.50263366211114 2.71069725097446e-11 1.94112665474489e-09 15.5974175795294
"Kank2" 1.69627058341794 8.54018531175955 2.37427464389137e-11 1.73126903142928e-09 15.5778496014311
"Zcchc24" 0.56558684870193 8.56676314305383 2.16187636031833e-11 1.5909218247891e-09 15.5355953443688
"Tlr5" 2.28584827129276 8.63590554899472 1.69463186474223e-11 1.28562324562832e-09 15.5274480697084
"Slc2a12" 3.44378162231237 8.49721400066202 2.76306617134571e-11 1.96979480759909e-09 15.5150139384848
"Rgs9" -2.42100609371725 -8.46699278988649 3.07433358258534e-11 2.13452317305675e-09 15.4317407696009
"Cdh1" 5.1059878502972 8.48382698952281 2.89682983369062e-11 2.03786236185927e-09 15.4098844230196
"Rffl" -0.768624477343463 -8.45069628581032 3.25659599418214e-11 2.23195628459634e-09 15.405614232297
"Prodh2" -1.75832791807878 -8.53884912580036 2.38549127384928e-11 1.73154137054996e-09 15.4005183462723
"Smo" 1.00110020172177 8.45457912660639 3.21220593930204e-11 2.21102226916872e-09 15.3878594015076
"Rsph9" -0.976701328509231 -8.4463715368899 3.30676551163157e-11 2.24705270022317e-09 15.3560190343874
"Gal3st1" -0.900603470547886 -8.41554026900362 3.68770569610528e-11 2.47432656559266e-09 15.2949214819627
"Slc4a4" 1.06234944845352 8.49106059770481 2.82376114596557e-11 1.99524963450992e-09 15.278034416748
"Pfkl" -0.546959678524686 -8.49292456624875 2.80523523380514e-11 1.99096895327263e-09 15.2693246626146
"Slco2a1" 2.74131837007691 8.4342534562726 3.45152584205702e-11 2.33548373609358e-09 15.2692880437207
"Ptk2" -0.339529365811949 -8.48190067481685 2.9166070542459e-11 2.04277623023038e-09 15.2228411410441
"Vcsa1" -2.81352856024205 -8.52658318948545 2.49098385180063e-11 1.79993308277847e-09 15.2178555570064
"Rps6ka2" -0.674982817518713 -8.47343373490765 3.00516064342352e-11 2.09560743732883e-09 15.2050310081579
"Lepr" 1.22283841718411 8.41160839790963 3.73936236969525e-11 2.49848860592734e-09 15.1860474940451
"Prrx2" 4.10081928439621 8.45847765109331 3.16824933394533e-11 2.19020664994688e-09 15.1641731066131
"Gpha2" 2.93566605084414 8.50681470724216 2.67098056202053e-11 1.92130128805882e-09 15.1624388708646
"Evc" 0.764328296225872 8.38126018857139 4.1633786339128e-11 2.73600795905158e-09 15.1597896726125
"Pde1a" -1.07434076607973 -8.44647173223263 3.30559443094858e-11 2.24705270022317e-09 15.1185275840845
"Ctsh" 0.981876643640374 8.42790099160755 3.52994283529113e-11 2.37846654585502e-09 15.1163981741106
